# qa/c9-mutations.tsv — named mutations per campaign-9 PR (source: tasks.md "Named mutations" + the RED headers).
# Columns (TAB): id  pr  file  fmt  suite  flips  anchor  kind  expr  note     — see qa/mutate.sh.
# kind=sed rows carry a CONTENT anchor (never a line number); mutate.sh refuses to apply when the anchor is absent
# and reports NO-OP when the sed changes nothing, so a speculative expr can never fake a flip.
# kind=manual rows name the mutation for code that does not exist until GREEN; apply by hand on the SAME detached
# worktree, run the same suite, paste the verbatim failure lines. Flips name the executable pins of the RED files,
# not the tasks.md prose where the two differ (noted).
M1a	PR1	Compresores/CompPan/CompPan-rt/src/com/angeles/CompPan/CompressorControl.java	junit	$QA/junit-run.sh Compresores/CompPan/CompPan-rt com.angeles.CompPan.CompressorRotationTest	ROT7_,ROT7b_	pickLeastHoursOffAuto	manual	inside pickLeastHoursOffAuto remove the != MODE_AUTO (HAND/OFF exclusion) from the candidate filter	tasks 1.16(a): ROT7 HAND-in-minOff flips; ROT7b flips too
M1b	PR1	Compresores/CompPan/CompPan-rt/src/com/angeles/CompPan/CompressorControl.java	junit	$QA/junit-run.sh Compresores/CompPan/CompPan-rt com.angeles.CompPan.CompressorRotationTest	ROT4_,ROT11_	lastStageMs	manual	delete ONLY the swap-completion lastStageMs = now stamp (keep the stage-up/stage-down stamps)	tasks 1.16(b): ROT4/ROT11 fail on the N=3 fixture
M1c	PR1	Compresores/CompPan/CompPan-rt/src/com/angeles/CompPan/CompressorControl.java	junit	$QA/junit-run.sh Compresores/CompPan/CompPan-rt com.angeles.CompPan.CompressorRotationTest	ROT16_	rotSinceMs	manual	base the rotation clock on cmdSince[k] instead of rotSinceMs[k] (arm/stage-up stamp)	tasks 1.16(c): ROT16 enable-without-full-interval fails
M2a	PR2	build-n4-module-kit/toolbelt/lint-demand-scope.sh	bats	bats tests/demand-in-scope.bats	DS3	.	manual	drop the enclosing-class FIELD scan (only parameters count as demand-shaped input)	tasks 2.7 says DS2 flips; DS2 is the fixture-level mutant (already executable), the tool-level flip is DS3 (field in scope)
M2b	PR2	build-n4-module-kit/toolbelt/lint-demand-scope.sh	bats	bats tests/demand-in-scope.bats	DS4	.	manual	drop the process-variable-read requirement (flag every output writer)	over-trigger guard DS4 flips
M3a	PR3	build-n4-module-kit/toolbelt/lint-silent-protection.sh	bats	bats tests/lint-silent-protection.bats	SP8,SP-smoke	.	manual	treat a private field as a surface -> CR-3 (freezeTripped private) WARN disappears	tasks 3.7(a)
M3b	PR3	build-n4-module-kit/toolbelt/lint-silent-protection.sh	bats	bats tests/lint-silent-protection.bats	SP-smoke	.	manual	drop the field->slot follow -> CP-2 dischargeHighAlarm starts WARNing (false positive)	tasks 3.7(b)
M4a	PR4	instalacion/pipeline/write-server.mjs	node	node --test --test-reporter=tap --test-force-exit instalacion/pipeline/test/write-server.config-login.test.mjs	S12A-1,S12A-5	config-token|configToken|CONFIG_TOKEN	manual	drop the config-token check in the buildServer /write handler	tasks 4.10
M5a	PR5	instalacion/pipeline/write-server.mjs	node	node --test --test-reporter=tap --test-force-exit instalacion/pipeline/test/write-server.config-login.test.mjs	S12A-6	AUDIT_SPOOL	manual	let the changeLog.insert failure propagate (remove the try/catch around the audit sink) -> 5xx reaches the caller	tasks 5.7(a)
M5b	PR5	instalacion/pipeline/write-server.mjs	node	node --test --test-reporter=tap --test-force-exit instalacion/pipeline/test/write-server.config-login.test.mjs	S12A-9	replaySpool	manual	mark a spool entry replayed BEFORE the insert confirms	tasks 5.7(b): second replay skips an entry that still needs replaying
